Especie,Latitude,Longitude
Carica Papaya,9.88765,-82.96876667
Carica Papaya,9.888667,-84.94508333
Carica Papaya,9.888833,-84.9451
Carica Papaya,9.891417,-82.97136667
Carica Papaya,9.8935,-85.52981667
Carica Papaya,9.8936,-85.52976667
Carica Papaya,9.8936,-85.5298
Carica Papaya,9.893783,-84.93583333
Carica Papaya,9.893833,-85.52976667
Carica Papaya,9.893917,-85.52978333
Carica Papaya,9.89395,-85.52973333
Carica Papaya,9.896083,-84.9359
Carica Papaya,9.897283,-82.97583333
Carica Papaya,9.897433,-82.976
Carica Papaya,9.897533,-84.93616667
Carica Papaya,9.897583,-84.93621667
Carica Papaya,9.897783,-84.93625
Carica Papaya,9.897817,-84.9363
Carica Papaya,9.897833,-84.93633333
Carica Papaya,9.897883,-84.93623333
Carica Papaya,9.898067,-84.93606667
Carica Papaya,9.898067,-84.9365
Carica Papaya,9.898067,-84.9366
Carica Papaya,9.898083,-84.93658333
Carica Papaya,9.898333,-84.93553333
Carica Papaya,9.902233,-84.93598333
Carica Papaya,9.902267,-84.93655
Carica Papaya,9.902283,-84.93645
Carica Papaya,9.9023,-84.9366
Carica Papaya,9.902633,-84.9353
Carica Papaya,9.9036,-84.93785
Carica Papaya,9.903783,-84.9378
Carica Papaya,9.903817,-84.93785
Carica Papaya,9.904767,-84.94021667
Carica Papaya,9.906683,-84.9423
Carica Papaya,9.9071,-84.94195
Carica Papaya,9.90715,-82.98355
Carica Papaya,9.907267,-84.94188333
Carica Papaya,9.908467,-84.96086667
Carica Papaya,9.90855,-84.95868333
Carica Papaya,9.908833,-84.96066667
Carica Papaya,9.909433,-84.94418333
Carica Papaya,9.909567,-84.95995
Carica Papaya,9.9096,-84.96095
Carica Papaya,9.90965,-84.96005
Carica Papaya,9.909733,-84.9445
Carica Papaya,9.909817,-84.9599
Carica Papaya,9.910117,-84.95088333
Carica Papaya,9.910133,-84.95071667
Carica Papaya,9.910633,-84.9497
Carica Papaya,9.9109,-84.94835
Carica Papaya,9.910967,-84.94831667
Carica Papaya,9.912667,-84.95908333
Carica Papaya,9.91365,-84.96038333
Carica Papaya,9.916317,-84.9605
Carica Papaya,9.916417,-84.96053333
Carica Papaya,9.916967,-84.95988333
Carica Papaya,9.916967,-84.9599
Carica Papaya,9.920567,-84.9593
Carica Papaya,9.920617,-84.95935
Carica Papaya,9.920633,-84.95941667
Carica Papaya,9.920683,-84.95941667
Carica Papaya,9.9207,-84.95936667
Carica Papaya,9.920733,-84.95903333
Carica Papaya,9.9218,-84.95911667
Carica Papaya,9.921883,-84.95936667
Carica Papaya,9.9219,-84.9593
Carica Papaya,9.921933,-84.95945
Carica Papaya,9.921983,-84.95925
Carica Papaya,9.922,-84.95936667
Carica Papaya,9.922017,-84.95921667
Carica Papaya,9.922017,-84.95926667
Carica Papaya,9.922017,-84.95928333
Carica Papaya,9.922033,-84.9593
Carica Papaya,9.92205,-84.95925
Carica Papaya,9.922067,-84.95905
Carica Papaya,9.922067,-84.95926667
Carica Papaya,9.92215,-84.95901667
Carica Papaya,9.92225,-84.95906667
Carica Papaya,9.923117,-84.9578
